,Player,Tm,season17_18
485,Carlos Delfino,LAC,650000.00 
486,Caron Butler,SAC,517220.00 
487,Jordan Farmar,LAC,510921.00 
488,Ersan Ilyasova,PHI,502328.00 
489,Leandro Barbosa,PHO,500000.00 
490,Tibor Pleiss,PHI,500000.00 
491,Michael Gbinije,DET,500000.00 
492,Aaron Gray,DET,452059.00 
493,Festus Ezeli,POR,333334.00 
494,C.J. Watson,ORL,333334.00 
495,Gal Mekel,DAL,315760.00 
496,Miroslav Raduljica,LAC,300000.00 
497,Cameron Oliver,HOU,300000.00 
498,Ramon Sessions,WAS,263124.00 
499,Jordan Crawford,NOP,250000.00 
500,Emeka Okafor,NOP,239204.00 
501,Wade Baldwin,POR,222476.00 
502,Isaiah Canaan,CHI,200000.00 
503,Rakeem Christmas,IND,172552.00 
504,DeAndre Liggins,NOP,172238.00 
505,Sean Kilpatrick,LAC,172238.00 
506,Rashad Vaughn,ORL,166258.00 
507,Troy Williams,NYK,148318.00 
508,Travis Wear,LAL,148318.00 
509,Carrick Felix,WAS,140902.00 
510,Brandon Rush,POR,119602.00 
511,Brandon Jennings,MIL,119010.00 
512,Derrick Williams,LAL,104059.00 
513,K.J. McDaniels,TOR,100000.00 
514,Marshall Plumlee,NYK,100000.00 
515,Georges Niang,IND,100000.00 
516,Quinn Cook,ATL,100000.00 
517,Demetrius Jackson,BOS,92858.00 
518,Kyle Collinsworth,DAL,92160.00 
519,Josh Gray,PHO,92160.00 
520,Naz Mitrou-Long,UTA,92160.00 
521,Shaquille Harrison,PHO,92160.00 
522,"Walt Lemon, Jr.",NOP,92160.00 
523,Antonius Cleveland,ATL,92160.00 
524,Jaylen Morris,ATL,92160.00 
525,Mike James,PHO,87552.00 
526,Jarell Eddie,BOS,83129.00 
527,Jarell Eddie,CHI,83129.00 
528,Briante Weber,MEM,83129.00 
529,Demetrius Jackson,HOU,74159.00 
530,Georgios Papagiannis,POR,74159.00 
531,Larry Drew,NOP,74159.00 
532,Scotty Hopson,DAL,74159.00 
533,Isaiah Canaan,HOU,53465.00 
534,Tyler Cavanaugh,ATL,50000.00 
535,Kyle Collinsworth,DAL,50000.00 
536,Demetrius Jackson,HOU,50000.00 
537,Daniel Ochefu,WAS,50000.00 
538,Michael Young,WAS,50000.00 
539,Nate Wolters,UTA,50000.00 
540,Naz Mitrou-Long,UTA,50000.00 
541,Eric Griffin,UTA,50000.00 
542,Jacob Pullen,PHI,50000.00 
543,James Michael McAdoo,PHI,50000.00 
544,Nigel Hayes,NYK,50000.00 
545,Jalen Moore,MIL,50000.00 
546,Gary Payton,MIL,50000.00 
547,Matt Williams,MIA,50000.00 
548,Vince Hunter,MEM,50000.00 
549,Vander Blue,LAL,50000.00 
550,V.J. Beachem,LAL,50000.00 
551,Briante Weber,LAL,50000.00 
552,Jamil Wilson,LAC,50000.00 
553,Briante Weber,HOU,50000.00 
554,Luis Montero,DET,50000.00 
555,Gian Clavell,DAL,50000.00 
556,Antonius Cleveland,DAL,50000.00 
557,Diamond Stone,CHI,50000.00 
558,Yakuba Ouattara,BRK,50000.00 
559,Jeremy Evans,ATL,50000.00 
560,Nigel Hayes,LAL,46080.00 
561,Nigel Hayes,TOR,46080.00 
562,Rodney Purvis,ORL,46080.00 
563,Xavier Rathan-Mayes,MEM,46080.00 
564,Trey McKinney-Jones,IND,46080.00 
565,Jameel Warney,DAL,46080.00 
566,Marcus Thornton,CLE,46080.00 
567,DeAndre Liggins,ATL,26773.00 
568,Axel Toupane,NOP,25000.00 
569,Quinn Cook,NOP,25000.00 
570,Chris Johnson,HOU,25000.00 
571,Beno Udrih,DET,25000.00 
572,Joel Bolomboy,MIL,22248.00 
573,Jarell Eddie,CHI,17224.00 
